User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
DevOps,ASIA6RT2GZTIDAQVQPC2,2022-03-03T05:47:30Z,ec2.amazonaws.com,ModifySecurityGroupRules,ap-south-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0d769d39abc7f693b""}]",6b9378d8-611b-4dfe-a808-dff67823ae90,953dbbed-bf8f-4c00-ac87-41df5f344fe7,false,AwsApiCall,999909936336,Management
DevOps,ASIA6RT2GZTIDAQVQPC2,2022-03-03T05:47:30Z,ec2.amazonaws.com,ModifySecurityGroupRules,ap-south-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0d769d39abc7f693b""}]",a60007a3-bd87-4e04-abe0-813ef840809b,cfb58558-f8f7-4988-abda-ddc3de35a4e0,false,AwsApiCall,999909936336,Management
DevOps,ASIA6RT2GZTIDAQVQPC2,2022-03-03T05:47:29Z,ec2.amazonaws.com,ModifySecurityGroupRules,ap-south-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0d769d39abc7f693b""}]",73a10e46-07b7-47f6-9876-474a78085cba,7d5995d7-7e2c-408b-9f30-8c8ea2d812c6,false,AwsApiCall,999909936336,Management
DevOps,,2022-03-03T05:45:57Z,signin.amazonaws.com,ConsoleLogin,ap-south-1,106.76.12.203,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:97.0) Gecko/20100101 Firefox/97.0,,[],,ba04f91c-f69f-475b-a570-f6ab966570a8,false,AwsConsoleSignIn,999909936336,Management
DevOps,AKIA6RT2GZTICKRK4NWA,2022-03-02T14:22:29Z,ec2.amazonaws.com,DeleteVpc,ap-south-1,15.206.28.41,APN/1.0 HashiCorp/1.0 Terraform/1.1.4 (+https://www.terraform.io) terraform-provider-aws/3.74.3 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.42.38 (go1.16; linux; amd64),,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ce4ea2bdf5146174""}]",4cdf72cb-46b4-4608-8885-84b0a186fa89,38e5473f-eec2-4970-880f-a5877dfdff55,false,AwsApiCall,999909936336,Management
DevOps,AKIA6RT2GZTICKRK4NWA,2022-03-02T14:22:29Z,ec2.amazonaws.com,DeleteKeyPair,ap-south-1,15.206.28.41,APN/1.0 HashiCorp/1.0 Terraform/1.1.4 (+https://www.terraform.io) terraform-provider-aws/3.74.3 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.42.38 (go1.16; linux; amd64),,"[{""resourceType"":""AWS::EC2::KeyPair"",""resourceName"":""ssh-key-pair""}]",ecc410ef-40af-43a0-ba48-b8b2a3cc54f6,a068bf23-23c9-4074-bb51-cc0b45bda0a3,false,AwsApiCall,999909936336,Management
DevOps,AKIA6RT2GZTICKRK4NWA,2022-03-02T14:22:10Z,ec2.amazonaws.com,ModifyVpcAttribute,ap-south-1,15.206.28.41,APN/1.0 HashiCorp/1.0 Terraform/1.1.4 (+https://www.terraform.io) terraform-provider-aws/3.74.3 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.42.38 (go1.16; linux; amd64),,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ce4ea2bdf5146174""}]",ddb059d8-7c2b-42ad-a8af-e5af10dcf174,087fe546-8fb1-437d-a7cf-24690a0c00c9,false,AwsApiCall,999909936336,Management
DevOps,AKIA6RT2GZTICKRK4NWA,2022-03-02T14:22:10Z,ec2.amazonaws.com,CreateVpc,ap-south-1,15.206.28.41,APN/1.0 HashiCorp/1.0 Terraform/1.1.4 (+https://www.terraform.io) terraform-provider-aws/3.74.3 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.42.38 (go1.16; linux; amd64),,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ce4ea2bdf5146174""}]",7469b44c-2e99-44c0-9c2b-c7d79c049786,1f33a6db-7d3e-4881-8cc9-10d1d7a9743f,false,AwsApiCall,999909936336,Management
DevOps,AKIA6RT2GZTICKRK4NWA,2022-03-02T14:22:10Z,ec2.amazonaws.com,ImportKeyPair,ap-south-1,15.206.28.41,APN/1.0 HashiCorp/1.0 Terraform/1.1.4 (+https://www.terraform.io) terraform-provider-aws/3.74.3 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.42.38 (go1.16; linux; amd64),,"[{""resourceType"":""AWS::EC2::KeyPair"",""resourceName"":""ssh-key-pair""}]",7e5f54b0-39af-4fcb-b0ae-3e734b08ef9b,d927a8ea-9311-413b-bea4-0d9e68d9790c,false,AwsApiCall,999909936336,Management
DevOps,ASIA6RT2GZTIF46PNINM,2022-03-02T14:15:16Z,ec2.amazonaws.com,ModifySecurityGroupRules,ap-south-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0d769d39abc7f693b""}]",87e0e01b-0b64-4524-b09b-5d74d427e15c,473ad983-fea4-497a-be72-ee53912c8c0b,false,AwsApiCall,999909936336,Management
